,Country Name,Abuse Score 2021,Underlying Situation Score 2021,Global Score 2021,Global Score 2020,Global Score 2019,alpha_2,alpha_3,ccode,country,leader,year,government,gov_democracy,Continent_Name
0,Norway,0.0,6.72,6.72,7.84,7.82,NO,NOR,385.0,Norway,Solberg,2021.0,Parliamentary Democracy,1.0,Europe
1,Finland,0.0,6.99,6.99,7.93,7.9,FI,FIN,375.0,Finland,Sanna Marin,2021.0,Parliamentary Democracy,1.0,Europe
2,Sweden,0.0,7.24,7.24,9.25,8.31,SE,SWE,380.0,Sweden,Lofven,2021.0,Parliamentary Democracy,1.0,Europe
3,Denmark,0.0,8.57,8.57,8.13,9.87,DK,DNK,390.0,Denmark,Mette Frederiksen,2021.0,Parliamentary Democracy,1.0,Europe
5,Netherlands,13.86,8.74,9.67,9.96,8.63,NL,NLD,210.0,Netherlands,M. Rutte,2021.0,Parliamentary Democracy,1.0,Europe
8,Portugal,0.0,10.11,10.11,11.83,12.63,PT,PRT,235.0,Portugal,de Sousa,2021.0,Presidential Democracy,1.0,Europe
9,Switzerland,6.93,10.55,10.55,10.62,10.52,CH,CHE,225.0,Switzerland,Parmelin,2021.0,Parliamentary Democracy,1.0,Europe
10,Belgium,6.93,11.69,11.69,12.57,12.07,BE,BEL,211.0,Belgium,Alexander De Croo,2021.0,Parliamentary Democracy,1.0,Europe
11,Ireland,0.0,11.91,11.91,12.6,15.0,IE,IRL,205.0,Ireland,Martin,2021.0,Parliamentary Democracy,1.0,Europe
12,Germany,43.31,8.25,15.24,12.16,14.6,DE,DEU,255.0,Germany,Merkel,2021.0,Parliamentary Democracy,1.0,Europe
14,Estonia,0.0,15.25,15.25,12.61,12.27,EE,EST,366.0,Estonia,Kaja Kallas,2021.0,Parliamentary Democracy,1.0,Europe
15,Iceland,0.0,15.37,15.37,15.12,14.71,IS,ISL,395.0,Iceland,Katrín Jakobsdóttir,2021.0,Parliamentary Democracy,1.0,Europe
16,Austria,10.99,16.34,16.34,15.78,15.33,AT,AUT,305.0,Austria,Kurz,2021.0,Parliamentary Democracy,1.0,Europe
19,Luxembourg,0.0,17.56,17.56,15.46,15.66,LU,LUX,212.0,Luxembourg,Bettel,2021.0,Parliamentary Democracy,1.0,Europe
