,Country Name,Abuse Score 2021,Underlying Situation Score 2021,Global Score 2021,Global Score 2020,Global Score 2019,alpha_2,alpha_3,ccode,country,leader,year,government,gov_democracy,Continent_Name
17,Uruguay,0.0,16.38,16.38,15.79,16.06,UY,URY,165.0,Uruguay,Luis Pou,2021.0,Presidential Democracy,1.0,South America
18,Suriname,0.0,16.95,16.95,17.5,16.38,SR,SUR,115.0,Suriname,Santokhi,2021.0,Parliamentary Democracy,1.0,South America
50,Guyana,0.0,25.61,25.61,26.63,26.63,GY,GUY,110.0,Guyana,Mohamed Irfaan Ali,2021.0,Parliamentary Democracy,1.0,South America
53,Chile,30.45,27.36,27.89,27.31,25.65,CL,CHL,155.0,Chile,Sebastian Pinera,2021.0,Presidential Democracy,1.0,South America
70,Argentina,10.99,28.99,28.99,28.78,28.3,AR,ARG,160.0,Argentina,Fernandez,2021.0,Presidential Democracy,1.0,South America
91,Peru,13.86,31.71,31.71,30.94,30.22,PE,PER,135.0,Peru,Francisco Sagasti,2021.0,Presidential Democracy,1.0,South America
97,Ecuador,19.46,32.83,32.83,32.62,31.88,EC,ECU,130.0,Ecuador,Guillermo Lasso,2021.0,Presidential Democracy,1.0,South America
101,Paraguay,45.0,30.99,33.52,32.97,32.4,PY,PRY,150.0,Paraguay,Benitez,2021.0,Presidential Democracy,1.0,South America
111,Bolivia,27.73,35.47,35.47,35.37,35.38,BO,BOL,145.0,Bolivia,Arce,2021.0,Presidential Democracy,1.0,South America
112,Brazil,23.98,36.25,36.25,34.05,32.79,BR,BRA,140.0,Brazil,Bolsonaro,2021.0,Presidential Democracy,1.0,South America
135,Colombia,45.64,43.44,43.74,42.66,42.82,CO,COL,100.0,Colombia,Ivan Duque,2021.0,Presidential Democracy,1.0,South America
149,Venezuela,54.29,46.16,47.6,45.66,49.1,VE,VEN,101.0,Venezuela,Nicolas Maduro,2021.0,Personal Dictatorship,0.0,South America
